Interactions Report,,,,,,,,,
,From,,To,,,,,,
169,MeCP2,Generic binding protein,Cyclin D2,Generic binding protein,Inhibition,Transcription regulation,x,"MBD1, MBD2 and MeCP2 are able to bind to the methylated promoter of Cyclin D2.",20565761
170,VCP,Generic enzyme,MJD (ataxin-3),Generic enzyme,Activation,Binding,x,VCP binds to and activates MJD (ataxin-3).,23383273;31613024
171,RBB2,Generic enzyme,C20orf177,Protein,Inhibition,Transcription regulation,x,RBB2 co-inhibits transcription of C20orf177.,36347944
172,PIKE(CENTG1),"Regulators (GDI, GAP, GEF)",NF-kB1 (p50),Transcription factor,Activation,Binding,x,Phosphorylated GGAP2 can bind the p50 subunit of NF-{kappa}B and enhances NF-{kappa}B transcriptional activity.,19176382
173,VDR,Transcription factor,JMJD3,Generic enzyme,Activation,Transcription regulation,x,VDR probably regulates transcription of JMJD3 in human B-cell lymphoma.,18277385;21890490;22370479;23401126;30825201
174,PRMT5,Generic enzyme,DLK,Generic binding protein,Activation,Transcription regulation,x,PRMT5 co-activates transcription of DLK.,25681392
175,GCR,Transcription factor,NGF,Receptor ligand,Inhibition,Transcription regulation,x,GCR inhibits transcription of NGF.,17208231;32619221
176,RhoA,RAS - superfamily,PIP5K1A,Lipid kinase,Activation,Binding,x,PIP5K1A is a RhoA-interacting protein.,14681219;22593208
177,PERC,Generic binding protein,REV-ERBalpha,Transcription factor,Activation,Transcription regulation,x,ERR1 and PGC-1 beta bind and activate the REV-ERBalpha gene promoter.,20961995
178,JARID2,Transcription factor,ATF-3,Transcription factor,Inhibition,Transcription regulation,x,JARID2 co-inhibits transcription of ATF-3.,24856900
179,CTCF,Transcription factor,ITGA7,Generic receptor,Activation,Transcription regulation,x,CTCF activates transcription of ITGA7.,31519520;32807777;35093191;36628218
180,eIF4G2,Generic binding protein,Bcl-9,Generic binding protein,Activation,Binding,x,eIF4G2 binds to and activates Bcl-9.,35961752
181,SOX2,Transcription factor,SOX21,Transcription factor,Activation,Transcription regulation,x,SOX2 increases SOX21 mRNA expression.,18238855;19884255;20687156;22085726;22679103;22902753;23159369;25482558;25825708;26186194;26809499;28514442;34732716;34852960
182,PUM2,Generic binding protein,FOXP1,Transcription factor,Activation,Binding,x,PUM2 binds to and activates FOXP1.,28232582;32375027
183,SASH1,Generic binding protein,Beta-arrestin1,Generic binding protein,Activation,Binding,x,SASH1 binds to and activates Beta-arrestin1.,31067462
184,PER3,Generic binding protein,ATM,Protein kinase,Activation,Binding,x,PER3 binds to and activates ATM.,21070773
185,FBXW11,Generic binding protein,Bim,Generic binding protein,Inhibition,Binding,x,betaTrCP1 and betaTrCP2 bind to BimEL and regulate BimEL stability.,19150432;25332235;26186194;28514442
186,UBE2W,Generic enzyme,WWP2,Generic enzyme,Activation,Binding,x,UBE2W binds to and activates WWP2.,22496338
187,RelA (p65 NF-kB subunit),Transcription factor,BChE,Generic enzyme,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of BChE.,28579529
188,NUR77,Transcription factor,BRM,Generic enzyme,Activation,Binding,x,NUR77 binds to and activates BRM.,33087562
189,SIP1 (ZFHX1B),Transcription factor,NBEAL2,Generic binding protein,Inhibition,Transcription regulation,x,SIP1 (ZFHX1B) inhibits transcription of NBEAL2.,38271512
190,STAT1,Transcription factor,Bcl-6,Transcription factor,Activation,Transcription regulation,x,"BCL-6, CTIIA and IRF1 genes activated via a Stat1-mediated hBrm-to-Brg1 switch on their GAS elements.",15596057;17032459;21079652;24295829;24489092;24631156;29510136;38577903
191,CBP,Generic enzyme,HBB2 (mouse),Transporter,Activation,Transcription regulation,x,CBP co-activates transcription of HBB2 (mouse).,14597626;18286208
192,NCOA1 (SRC1),Generic enzyme,NANOG,Transcription factor,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of NANOG.,34762910
193,NXF,Transcription factor,CDK5,Protein kinase,Activation,Transcription regulation,x,NXF activates transcription of CDK5.,23172225
194,MDM2,Generic enzyme,RhoA,RAS - superfamily,Activation,Binding,x,MDM2 binds to and activates RhoA.,39164253
195,PIAS2,Generic enzyme,SUMO-3,Generic binding protein,Activation,Binding,x,PIAS2 binds to and activates SUMO-3.,18538659
196,KLF5,Transcription factor,PLCD,Generic enzyme,Activation,Transcription regulation,x,KLF5 activates transcription of PLCD.,36008138
197,LXR-beta,Transcription factor,ELOVL5,Generic enzyme,Activation,Transcription regulation,x,LXR-beta activates transcription of ELOVL5.,20513432;36592658
198,c-Jun,Transcription factor,PERC,Generic binding protein,Activation,Transcription regulation,x,c-jun  directly activates the PGC1 beta promoter.,20519122;36512641
199,CSDA,Transcription factor,CDK5,Protein kinase,Inhibition,Binding,x,CSDA binds to and inhibits CDK5.,10100871
200,JARID2,Transcription factor,SETDB1,Generic enzyme,Activation,Binding,x,JARID2 binds to and activates SETDB1.,22110129
201,R-Ras,RAS - superfamily,RGL2,"Regulators (GDI, GAP, GEF)",Activation,Binding,x,R-Ras physically interacts with RGL2 and increases its activity.,15143186;17344481;20478380
202,YY1,Transcription factor,ASM3A,Generic enzyme,Activation,Transcription regulation,x,YY1 activates transcription of ASM3A.,20215434;32409309
203,EGR3,Transcription factor,ARC,Generic binding protein,Activation,Transcription regulation,x,EGR3 can bind to gene ARC promoter and activates ARC expression.,16287845
204,Androgen receptor,Transcription factor,FTO,Protein,Activation,Transcription regulation,x,Androgen receptor activates transcription of FTO.,27221037
205,Sirtuin6,Generic enzyme,SMARCA5,Transcription factor,Activation,Binding,x,Sirtuin6 binds to and activates SMARCA5 .,23240041;23911928;30143629;34244565
206,BICC1,Generic binding protein,PKIA,Generic binding protein,Inhibition,Binding,x,Bicc1 inhibits expression of the PKA/PRKX inhibitor PKIA through miR-27a.,22641646
207,p53,Transcription factor,Securin,Transcription factor,Inhibition,Transcription regulation,x,"Reporter and chromatin immunoprecipitation assays demonstrated that p53 can suppress the promoter activities of three further studied candidate genes PLK, PTTG1, and CHEK1 but would only bind directly to PTTG1 and CHEK1 promoters.",12355087;15016801;16713569;19117984;19607708
208,INO80,Generic binding protein,XRCC3,Generic binding protein,Activation,Transcription regulation,x,hINO80 binds to the promoters of the Rad54B and XRCC3 genes.,20687897
209,BACH2,Transcription factor,Bcl-6,Transcription factor,Inhibition,Transcription regulation,x,BACH2 inhibits transcription of Bcl-6.,18256039;23852341;30971440
210,GCR,Transcription factor,DDIT4L,Protein,Activation,Transcription regulation,x,GCR activates transcription of DDIT4L.,22778218;32619221
211,TCF7L2 (TCF4),Transcription factor,FTO,Protein,Inhibition,Transcription regulation,x,TCF7L2 (TCF4) inhibits transcription of FTO.,18268006;20640398;21965303;33966037
212,KEAP1,Generic binding protein,GRP75,Generic binding protein,Inhibition,Binding,x,KEAP1 binds to and inhibits GRP75.,34593792;39003742
213,CtBP2,Generic binding protein,RXRA,Transcription factor,Activation,Binding,x,CtBP2 binds to and activates RXRA.,23775127
214,KLF4,Transcription factor,Reticulocalbin 1,Generic binding protein,Inhibition,Transcription regulation,x,KLF4 inhibits transcription of Reticulocalbin 1.,18555785;19030024;19736564;28962896;32467224
215,HDAC2,Generic enzyme,APPL1,Generic binding protein,Activation,Binding,x,HDAC2 binds to and activates APPL1.,15016378;19686092;20412119
216,NAB2,Transcription factor,EGR2 (Krox20),Transcription factor,Inhibition,Binding,x,"Nab efficiently repressed Krox20 transcriptional activity in the presence of SUMO, whereas the KR2 mutant resulted in increased reporter activity, suggesting a dominant-negative effect.",8668170;16675951;21836637
217,ATF-3,Transcription factor,CAT-1 (SLC7A1),Transporter,Inhibition,Transcription regulation,x,cat-1 transcription is activated by ATF4 and C/EBP beta and is repressed by  ATF3.,17042743
218,STAT3,Transcription factor,GADD45 beta,Generic binding protein,Activation,Transcription regulation,x,putitatuve Stat3 binding site on GADD45 beta was validated by measuring in vitro binding and  in vivo occupancy.,19282476;20467778;22323479;22328012;23939942;31715132
219,BMI-1,Generic binding protein,CXXC4,Generic binding protein,Inhibition,Transcription regulation,x,BMI-1 co-inhibits transcription of CXXC4.,29337063
220,RelA (p65 NF-kB subunit),Transcription factor,MIR (Idol),Generic enzyme,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of MIR (Idol).,23603904
221,MEF2C,Transcription factor,RhoB,RAS - superfamily,Activation,Transcription regulation,x,MEF2C activates transcription of RhoB.,24043307;26403201
222,FOXK1,Transcription factor,ACLY,Generic enzyme,Inhibition,Transcription regulation,x,FOXK1 inhibits transcription of ACLY.,37889840;39094826
223,Esrra,Transcription factor,TGF-beta 3,Receptor ligand,Inhibition,Transcription regulation,x,Esrra inhibits transcription of TGF-beta 3.,32079653;32212902;32366476;35264626
224,CHD7,Generic enzyme,VEGF-A,Receptor ligand,Inhibition,Transcription regulation,x,CHD7 co-inhibits transcription of VEGF-A.,20657823
225,MMS2,Generic enzyme,CHFR,Generic enzyme,Activation,Binding,x,MMS2 binds to and activates CHFR.,14562038
226,PUM1,Generic binding protein,Aralar1 (SLC25A12),Transporter,Inhibition,Binding,x,PUM1 binds to and inhibits Aralar1 (SLC25A12).,32375027;37070548
227,YTHDF2,Generic binding protein,OGT (GlcNAc transferase),Generic enzyme,Activation,Binding,x,YTHDF2 binds to and activates OGT (GlcNAc transferase).,37700438
228,DBCCR1,Generic binding protein,Sirtuin1,Generic enzyme,Inhibition,Binding,x,Sirtuin1 interacts with DBCCR1.,18235502;21030595;22446626;22465953;22553202;23382074;30840891
229,NCOA1 (SRC1),Generic enzyme,GLT8D4,Generic enzyme,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of GLT8D4.,29567811
230,HDAC2,Generic enzyme,SCN3B,Voltage-gated ion channel,Inhibition,Transcription regulation,x,HDAC2 co-inhibits transcription of SCN3B.,28793257
231,TIF1-beta,Generic enzyme,Tubulin beta 1,Generic binding protein,Inhibition,Transcription regulation,x,TIF1-beta co-inhibits transcription of Tubulin beta 1.,25092915
232,Dystrophin,Generic binding protein,Syntrophin gamma 1,Generic binding protein,Activation,Binding,x,Dystrophin binds to and activates Syntrophin gamma 1.,19784870;33961781
233,LAMR1,Generic binding protein,APP,Generic receptor,Activation,Binding,x,LAMR1 binds to and activates APP.,32143270
234,IHPK1,Lipid kinase,GSK3 beta,Protein kinase,Activation,Binding,x,IHPK1 binds to and activates GSK3 beta.,23439485
235,E2F4,Transcription factor,Emi1,Generic binding protein,Activation,Transcription regulation,x,E2f4 binds to FBXO5 promoter,16135806;16606704;16861343;17237765;17908821;17957245;18439978;21247883
236,PBX1,Transcription factor,SOX3,Transcription factor,Activation,Transcription regulation,x,"Using Matlnspector program, one NF-Y binding site wasdetected within rat, mouse and human Sox3 that might be important in transcriptional regulation of SOX3.",17852354;19799567;22992721
237,NPL4,Generic binding protein,VCP,Generic enzyme,Activation,Binding,x,NPL4 physically interacts with VCP and increases its activity.,10811609;12411482;15371428;16234241;16793541;16822501;16984901;17202270;17491009;17872946;18586029;18775313;20414249;21914798;22232657;23293021;23333620;28320958;32521270;33961781;34644576;34739333
238,E4BP4,Transcription factor,PRNP,Generic binding protein,Activation,Transcription regulation,x,E4BP4 activates transcription of PRNP.,31477838
239,ZNF800,Generic binding protein,EGR2 (Krox20),Transcription factor,Inhibition,Transcription regulation,x,ZNF800 co-inhibits transcription of EGR2 (Krox20).,37883554
240,WNT2,Receptor ligand,FZD9,GPCR,Activation,Binding,x,WNT2 physically interacts with  FZD9.,12138115;18302287;19038973
241,CTCF,Transcription factor,Fibcd1,Generic binding protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of Fibcd1.,37489832
242,SETDB1,Generic enzyme,APOE,Receptor ligand,Inhibition,Transcription regulation,x,SETDB1 co-inhibits transcription of APOE.,25404354
243,C/EBPbeta,Transcription factor,C/EBP zeta,Transcription factor,Activation,Transcription regulation,x,DDIT3 (CHOP) interacts with CEBPB (NF-IL6).,1547942;8662954;10982836;12706815;15775988;16597647;16757577;17395747;17615236;18006442;18171425;21270259;23251594
244,IRF8,Transcription factor,C1qa,Generic binding protein,Activation,Transcription regulation,x,IRF8 activates transcription of C1qa.,27001747
245,NCOA2 (GRIP1/TIF2),Generic binding protein,Cyclin D1,Generic binding protein,Activation,Transcription regulation,x,NCOA2  coregulates and activates Cyclin D1 promoter.,19095746;21505052;22581837
246,YY1,Transcription factor,CBP,Generic enzyme,Inhibition,Binding,x,YY1 interacts with CBP.,218523;8794287;8999850;16878156;17721549;20110770
247,FAT10,Generic binding protein,PCNA,Generic binding protein,Inhibition,Binding,x,FAT10 binds to and inhibits PCNA.,22797925;23862649;29620277
248,RelA (p65 NF-kB subunit),Transcription factor,PSD-95,Generic binding protein,Activation,Transcription regulation,x,"Analysis of the 5' upstream region of mouse Dlg4 (encoding PSD-95) (see Materials and Methods) reveals multiple potential kB sites, including two conserved tandem consensus kB-sites at 213 and 350 bp (just outside the predicted transcriptional start site) upstream of the ATG, respectively.",21471377
249,EGR1,Transcription factor,G-protein alpha-i2,G-alpha,Activation,Transcription regulation,x,EGR1 activates transcription of G-protein alpha-i2.,36805440
250,G3P2,Generic enzyme,COX-2 (PTGS2),Generic enzyme,Inhibition,Binding,x,GAPDH binds to COX-2 ARE via NAD+ binding domain.,23000033
251,CFTR,Generic channel,GRP78,Generic binding protein,Inhibition,Binding,x,CFTR binds to and inhibits GRP78.,17110338;27483469
252,UBR5,Generic enzyme,APH-1B,Generic binding protein,Inhibition,Transcription regulation,x,UBR5 co-inhibits transcription of APH-1B.,24189493
253,PHF1,Transcription factor,FBXW7,Generic binding protein,Inhibition,Transcription regulation,x,PHF1 co-inhibits transcription of FBXW7.,29846670
254,C/EBPbeta,Transcription factor,EGR1,Transcription factor,Activation,Transcription regulation,x,C/EBPbeta binds to gene EGR1 promoter and promotes EGR1 expression.,12947119;17254333
255,Dynamin-2,Generic binding protein,SLC9A1,Generic channel,Inhibition,Binding,x,Dynamin-2 binds to and inhibits SLC9A1.,23837875
256,NF-kB1 (p50),Transcription factor,c-Myb,Transcription factor,Activation,Transcription regulation,x,NF-kB1 (p50) can bind to gene c-Myb promoter and activates c-Myb expression.,7706314;9694711
257,Androgen receptor,Transcription factor,JMJD3,Generic enzyme,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of JMJD3.,17721441;33414463;35933634
258,CBX4,Generic binding protein,Fibrillarin,Generic enzyme,Activation,Binding,x,CBX4 binds to and activates Fibrillarin.,30917318
259,Zac1,Transcription factor,PPAR-gamma,Transcription factor,Activation,Transcription regulation,x,Zac1 activates transcription of PPAR-gamma.,17178896
260,Sirtuin1,Generic enzyme,XBP1,Transcription factor,Inhibition,Transcription regulation,x,Resveratrol decreased the DNA binding capacity of XBP1 and increased the enrichment of SIRT1 at the XBP1 binding region in the XBP1 promoter.,21723843
261,RXRA,Transcription factor,TSLC1,Generic binding protein,Inhibition,Transcription regulation,x,RXRA inhibits transcription of TSLC1.,23396089;23977068
